82388335,82753215,0
82753215,82388335,0
82753215,8089643500,0
8089643500,82753215,0
8089643500,7202176641,0
7202176641,8089643500,0
7202176641,82753214,0
82753214,7202176641,0
82753214,82753213,0
82753213,82753214,0
82753213,82753212,0
82753212,82753213,0
82753212,7202176650,0
7202176650,82753212,0
7202176650,82753210,0
82753210,7202176650,0
82753210,82753209,0
82753209,82753210,0
82753209,4453886632,0
4453886632,82753209,0
4453886632,10074699087,0
10074699087,4453886632,0
10074699087,7202176651,0
7202176651,10074699087,0
7202176651,82753208,0
82753208,7202176651,0
82753208,82753206,0
82753206,82753208,0
82753206,8089643495,0
8089643495,82753206,0
8089643495,7202176652,0
7202176652,8089643495,0
7202176652,8586508512,0
8586508512,7202176652,0
10929279249,7202176641,0
7202176641,10929279249,0
7202176641,8089643499,0
8089643499,7202176641,0
10074699080,10074699085,0
10074699085,10074699080,0
10074699085,10929279250,0
10929279250,10074699085,0
10929279250,10074699084,0
10074699084,10929279250,0
10929279252,10929279251,0
10929279251,10929279252,0
10929279251,10929279250,0
10929279250,10929279251,0
